Directory : c:\Users\Spanri\Desktop\CRM-diplom
Date : 2019-06-13 04:00:26
Total : 464 files,  70825 codes, 8798 comments, 11001 blanks, all 90624 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| staticfiles\admin\js\vendor\select2\i18n\fi.js                                 | JavaScript       |          1 |          1 |          1 |          3 |
| staticfiles\admin\js\vendor\select2\i18n\fr.b06a3340de45.js                    | JavaScript       |          1 |          1 |          1 |          3 |
| staticfiles\admin\js\vendor\select2\i18n\fr.js                                 | JavaScript       |          1 |          1 |          1 |          3 |
| staticfiles\admin\js\vendor\select2\i18n\gl.78a87f7c0a51.js                    | JavaScript       |          1 |          1 |          1 |          3 |
| staticfiles\admin\js\vendor\select2\i18n\gl.js                                 | JavaScript       |          1 |          1 |          1 |          3 |
| staticfiles\admin\js\vendor\select2\i18n\he.222d90ee0344.js                    | JavaScript       |          1 |          1 |          1 |          3 |
| staticfiles\admin\js\vendor\select2\i18n\he.js                                 | JavaScript       |          1 |          1 |          1 |          3 |
| staticfiles\admin\js\vendor\select2\i18n\hi.116a90b7111b.js                    | JavaScript       |          1 |          1 |          1 |          3 |
| staticfiles\admin\js\vendor\select2\i18n\hi.js                                 | JavaScript       |          1 |          1 |          1 |          3 |
| staticfiles\admin\js\vendor\select2\i18n\hr.e1d2c70b4df5.js                    | JavaScript       |          1 |          1 |          1 |          3 |
| staticfiles\admin\js\vendor\select2\i18n\hr.js                                 | JavaScript       |          1 |          1 |          1 |          3 |
| staticfiles\admin\js\vendor\select2\i18n\hu.db45641f10b2.js                    | JavaScript       |          1 |          1 |          1 |          3 |
| staticfiles\admin\js\vendor\select2\i18n\hu.js                                 | JavaScript       |          1 |          1 |          1 |          3 |
| staticfiles\admin\js\vendor\select2\i18n\id.6ee6c9c64b94.js                    | JavaScript       |          1 |          1 |          1 |          3 |
| staticfiles\admin\js\vendor\select2\i18n\id.js                                 | JavaScript       |          1 |          1 |          1 |          3 |
| staticfiles\admin\js\vendor\select2\i18n\is.808c7d47acb5.js                    | JavaScript       |          1 |          1 |          1 |          3 |
| staticfiles\admin\js\vendor\select2\i18n\is.js                                 | JavaScript       |          1 |          1 |          1 |          3 |
| staticfiles\admin\js\vendor\select2\i18n\it.bae1661dbb77.js                    | JavaScript       |          1 |          1 |          1 |          3 |
| staticfiles\admin\js\vendor\select2\i18n\it.js                                 | JavaScript       |          1 |          1 |          1 |          3 |
| staticfiles\admin\js\vendor\select2\i18n\ja.19cf1ce8a03d.js                    | JavaScript       |          1 |          1 |          1 |          3 |
| staticfiles\admin\js\vendor\select2\i18n\ja.js                                 | JavaScript       |          1 |          1 |          1 |          3 |
| staticfiles\admin\js\vendor\select2\i18n\km.6074a9c5575c.js                    | JavaScript       |          1 |          1 |          1 |          3 |
| staticfiles\admin\js\vendor\select2\i18n\km.js                                 | JavaScript       |          1 |          1 |          1 |          3 |
| staticfiles\admin\js\vendor\select2\i18n\ko.74b17541834f.js                    | JavaScript       |          1 |          1 |          1 |          3 |
| staticfiles\admin\js\vendor\select2\i18n\ko.js                                 | JavaScript       |          1 |          1 |          1 |          3 |
| staticfiles\admin\js\vendor\select2\i18n\lt.a0783b1bd159.js                    | JavaScript       |          1 |          1 |          1 |          3 |
| staticfiles\admin\js\vendor\select2\i18n\lt.js                                 | JavaScript       |          1 |          1 |          1 |          3 |
| staticfiles\admin\js\vendor\select2\i18n\lv.07fe2a580d17.js                    | JavaScript       |          1 |          1 |          1 |          3 |
| staticfiles\admin\js\vendor\select2\i18n\lv.js                                 | JavaScript       |          1 |          1 |          1 |          3 |
| staticfiles\admin\js\vendor\select2\i18n\mk.4986d7fc3ff3.js                    | JavaScript       |          1 |          1 |          1 |          3 |
| staticfiles\admin\js\vendor\select2\i18n\mk.js                                 | JavaScript       |          1 |          1 |          1 |          3 |
| staticfiles\admin\js\vendor\select2\i18n\ms.23e7b4369579.js                    | JavaScript       |          1 |          1 |          1 |          3 |
| staticfiles\admin\js\vendor\select2\i18n\ms.js                                 | JavaScript       |          1 |          1 |          1 |          3 |
| staticfiles\admin\js\vendor\select2\i18n\nb.137e184004aa.js                    | JavaScript       |          1 |          1 |          1 |          3 |
| staticfiles\admin\js\vendor\select2\i18n\nb.js                                 | JavaScript       |          1 |          1 |          1 |          3 |
| staticfiles\admin\js\vendor\select2\i18n\nl.c363ace8aa05.js                    | JavaScript       |          1 |          1 |          1 |          3 |
| staticfiles\admin\js\vendor\select2\i18n\nl.js                                 | JavaScript       |          1 |          1 |          1 |          3 |
| staticfiles\admin\js\vendor\select2\i18n\pl.76465b54a6b0.js                    | JavaScript       |          1 |          1 |          1 |          3 |
| staticfiles\admin\js\vendor\select2\i18n\pl.js                                 | JavaScript       |          1 |          1 |          1 |          3 |
| staticfiles\admin\js\vendor\select2\i18n\pt-BR.9efbbac4fda8.js                 | JavaScript       |          1 |          1 |          1 |          3 |
| staticfiles\admin\js\vendor\select2\i18n\pt-BR.js                              | JavaScript       |          1 |          1 |          1 |          3 |
| staticfiles\admin\js\vendor\select2\i18n\pt.5d6ccc53b347.js                    | JavaScript       |          1 |          1 |          1 |          3 |
| staticfiles\admin\js\vendor\select2\i18n\pt.js                                 | JavaScript       |          1 |          1 |          1 |          3 |
| staticfiles\admin\js\vendor\select2\i18n\ro.1ddc2b9980dc.js                    | JavaScript       |          1 |          1 |          1 |          3 |
| staticfiles\admin\js\vendor\select2\i18n\ro.js                                 | JavaScript       |          1 |          1 |          1 |          3 |
| staticfiles\admin\js\vendor\select2\i18n\ru.d83609abf2e0.js                    | JavaScript       |          1 |          1 |          1 |          3 |
| staticfiles\admin\js\vendor\select2\i18n\ru.js                                 | JavaScript       |          1 |          1 |          1 |          3 |
| staticfiles\admin\js\vendor\select2\i18n\sk.a0f1a818d092.js                    | JavaScript       |          1 |          1 |          1 |          3 |
| staticfiles\admin\js\vendor\select2\i18n\sk.js                                 | JavaScript       |          1 |          1 |          1 |          3 |
| staticfiles\admin\js\vendor\select2\i18n\sr-Cyrl.2f3047aad49e.js               | JavaScript       |          1 |          1 |          1 |          3 |
| staticfiles\admin\js\vendor\select2\i18n\sr-Cyrl.js                            | JavaScript       |          1 |          1 |          1 |          3 |
| staticfiles\admin\js\vendor\select2\i18n\sr.157bc6eb978e.js                    | JavaScript       |          1 |          1 |          1 |          3 |
| staticfiles\admin\js\vendor\select2\i18n\sr.js                                 | JavaScript       |          1 |          1 |          1 |          3 |
| staticfiles\admin\js\vendor\select2\i18n\sv.2b21bb3f6110.js                    | JavaScript       |          1 |          1 |          1 |          3 |
| staticfiles\admin\js\vendor\select2\i18n\sv.js                                 | JavaScript       |          1 |          1 |          1 |          3 |
| staticfiles\admin\js\vendor\select2\i18n\th.2a4ece4c4355.js                    | JavaScript       |          1 |          1 |          1 |          3 |
| staticfiles\admin\js\vendor\select2\i18n\th.js                                 | JavaScript       |          1 |          1 |          1 |          3 |
| staticfiles\admin\js\vendor\select2\i18n\tr.c1925d8817db.js                    | JavaScript       |          1 |          1 |          1 |          3 |
| staticfiles\admin\js\vendor\select2\i18n\tr.js                                 | JavaScript       |          1 |          1 |          1 |          3 |
| staticfiles\admin\js\vendor\select2\i18n\uk.3d56f311192d.js                    | JavaScript       |          1 |          1 |          1 |          3 |
| staticfiles\admin\js\vendor\select2\i18n\uk.js                                 | JavaScript       |          1 |          1 |          1 |          3 |
| staticfiles\admin\js\vendor\select2\i18n\vi.3520aa7bdea8.js                    | JavaScript       |          1 |          1 |          1 |          3 |
| staticfiles\admin\js\vendor\select2\i18n\vi.js                                 | JavaScript       |          1 |          1 |          1 |          3 |
| staticfiles\admin\js\vendor\select2\i18n\zh-CN.419002d3c6c1.js                 | JavaScript       |          1 |          1 |          1 |          3 |
| staticfiles\admin\js\vendor\select2\i18n\zh-CN.js                              | JavaScript       |          1 |          1 |          1 |          3 |
| staticfiles\admin\js\vendor\select2\i18n\zh-TW.c021537edf2c.js                 | JavaScript       |          1 |          1 |          1 |          3 |
| staticfiles\admin\js\vendor\select2\i18n\zh-TW.js                              | JavaScript       |          1 |          1 |          1 |          3 |
| staticfiles\admin\js\vendor\select2\select2.full.a95323cb4760.js               | JavaScript       |      4,841 |        327 |      1,269 |      6,437 |
| staticfiles\admin\js\vendor\select2\select2.full.js                            | JavaScript       |      4,841 |        327 |      1,269 |      6,437 |
| staticfiles\admin\js\vendor\select2\select2.full.min.da607360bcc6.js           | JavaScript       |          3 |          0 |          0 |          3 |
| staticfiles\admin\js\vendor\select2\select2.full.min.js                        | JavaScript       |          3 |          0 |          0 |          3 |
| staticfiles\admin\js\vendor\xregexp\xregexp.1865b1cf5085.js                    | JavaScript       |      1,535 |        682 |         92 |      2,309 |
| staticfiles\admin\js\vendor\xregexp\xregexp.js                                 | JavaScript       |      1,535 |        682 |         92 |      2,309 |
| staticfiles\admin\js\vendor\xregexp\xregexp.min.c95393b8ca4d.js                | JavaScript       |         18 |          1 |          0 |         19 |
| staticfiles\admin\js\vendor\xregexp\xregexp.min.js                             | JavaScript       |         18 |          1 |          0 |         19 |
| staticfiles\index.12b53159f37b.html                                            | HTML             |          1 |          0 |          0 |          1 |
| staticfiles\index.248d9c7edc51.html                                            | HTML             |          1 |          0 |          0 |          1 |
| staticfiles\index.31da6fc0858f.html                                            | HTML             |          4 |          0 |          1 |          5 |
| staticfiles\index.3a6b5a6e8052.html                                            | HTML             |          4 |          0 |          1 |          5 |
| staticfiles\index.496ce0951ae7.html                                            | HTML             |          4 |          0 |          1 |          5 |
| staticfiles\index.713a9eda5be0.html                                            | HTML             |          4 |          0 |          1 |          5 |
| staticfiles\index.7445d2b11390.html                                            | HTML             |          1 |          0 |          0 |          1 |
| staticfiles\index.8d1084c85071.html                                            | HTML             |          1 |          0 |          0 |          1 |
| staticfiles\index.8f191ee7174e.html                                            | HTML             |          1 |          0 |          0 |          1 |
| staticfiles\index.a139b75c5a2d.html                                            | HTML             |          1 |          0 |          0 |          1 |
| staticfiles\index.aa01b6b3949d.html                                            | HTML             |          1 |          0 |          0 |          1 |
| staticfiles\index.b869ccbd5ec4.html                                            | HTML             |          4 |          0 |          1 |          5 |
| staticfiles\index.cdcf68efc2c7.html                                            | HTML             |          1 |          0 |          0 |          1 |
| staticfiles\index.d50748c091f0.html                                            | HTML             |          1 |          0 |          0 |          1 |
| staticfiles\index.da1460ffaf26.html                                            | HTML             |          1 |          0 |          0 |          1 |
| staticfiles\index.ee839ac9b568.html                                            | HTML             |          1 |          0 |          0 |          1 |
| staticfiles\index.html                                                         | HTML             |          4 |          0 |          1 |          5 |
| staticfiles\media\icons8-document.svg                                          | XML              |          6 |          0 |          1 |          7 |
| staticfiles\media\Кампус_211123.xml                                            | XML              |          1 |          0 |          0 |          1 |
| staticfiles\media\Филиал_2111_yvfvGrG.xml                                      | XML              |          1 |          0 |          0 |          1 |
| staticfiles\registration\password_reset_email.html                             | HTML             |          5 |          0 |          3 |          8 |
| staticfiles\rest_framework\css\bootstrap-theme.min.00b93e6ea6fb.css            | CSS              |          3 |          8 |          1 |         12 |
| staticfiles\rest_framework\css\bootstrap-theme.min.321ccd3adb83.css            | CSS              |          3 |          8 |          1 |         12 |
| staticfiles\rest_framework\css\bootstrap-theme.min.66b84a04375e.css            | CSS              |          1 |          5 |          0 |          6 |
| staticfiles\rest_framework\css\bootstrap-theme.min.css                         | CSS              |          1 |          5 |          0 |          6 |
| staticfiles\rest_framework\css\bootstrap-tweaks.46ed116b0edd.css               | CSS              |        174 |         15 |         45 |        234 |
| staticfiles\rest_framework\css\bootstrap-tweaks.b78ca7b14c57.css               | CSS              |        174 |         15 |         45 |        234 |
| staticfiles\rest_framework\css\bootstrap-tweaks.css                            | CSS              |        174 |         15 |         45 |        234 |
| staticfiles\rest_framework\css\bootstrap.min.77017a69879a.css                  | CSS              |          1 |          5 |          0 |          6 |
| staticfiles\rest_framework\css\bootstrap.min.86ba6b6fae66.css                  | CSS              |          1 |          5 |          0 |          6 |
| staticfiles\rest_framework\css\bootstrap.min.9568d6466155.css                  | CSS              |          1 |          5 |          0 |          6 |
| staticfiles\rest_framework\css\bootstrap.min.css                               | CSS              |          1 |          5 |          0 |          6 |
| staticfiles\rest_framework\css\bootstrap.min.ec3bb52a00e1.css                  | CSS              |          1 |          5 |          0 |          6 |
| staticfiles\rest_framework\css\default.8d5591a6aabc.css                        | CSS              |         62 |          3 |         18 |         83 |
| staticfiles\rest_framework\css\default.css                                     | CSS              |         62 |          3 |         18 |         83 |
| staticfiles\rest_framework\css\font-awesome-4.0.3.1f9e9d1a5a1d.css             | CSS              |      1,329 |          9 |          1 |      1,339 |
| staticfiles\rest_framework\css\font-awesome-4.0.3.c1e1ea213abf.css             | CSS              |      1,329 |          9 |          1 |      1,339 |
| staticfiles\rest_framework\css\font-awesome-4.0.3.css                          | CSS              |      1,329 |          9 |          1 |      1,339 |
| staticfiles\rest_framework\css\prettify.a987f72342ee.css                       | CSS              |         27 |          1 |          2 |         30 |
| staticfiles\rest_framework\css\prettify.css                                    | CSS              |         27 |          1 |          2 |         30 |
| staticfiles\rest_framework\docs\css\base.css                                   | CSS              |        284 |          4 |         65 |        353 |
| staticfiles\rest_framework\docs\css\base.d9cd17260641.css                      | CSS              |        284 |          4 |         65 |        353 |
| staticfiles\rest_framework\docs\css\highlight.css                              | CSS              |        101 |          6 |         19 |        126 |
| staticfiles\rest_framework\docs\css\highlight.e0e4d973c6d7.css                 | CSS              |        101 |          6 |         19 |        126 |
| staticfiles\rest_framework\docs\css\jquery.json-view.min.a2e6beeb6710.css      | CSS              |         11 |          0 |          0 |         11 |
| staticfiles\rest_framework\docs\css\jquery.json-view.min.css                   | CSS              |         11 |          0 |          0 |         11 |
| staticfiles\rest_framework\docs\js\api.c9743eab7a4f.js                         | JavaScript       |        264 |         21 |         37 |        322 |
| staticfiles\rest_framework\docs\js\api.js                                      | JavaScript       |        264 |         21 |         37 |        322 |
| staticfiles\rest_framework\docs\js\highlight.pack.479b5f21dcba.js              | JavaScript       |          2 |          0 |          0 |          2 |
| staticfiles\rest_framework\docs\js\highlight.pack.js                           | JavaScript       |          2 |          0 |          0 |          2 |
| staticfiles\rest_framework\docs\js\jquery.json-view.min.b7c2d6981377.js        | JavaScript       |          1 |          6 |          0 |          7 |
| staticfiles\rest_framework\docs\js\jquery.json-view.min.js                     | JavaScript       |          1 |          6 |          0 |          7 |
| staticfiles\rest_framework\fonts\fontawesome-webfont.83e37a11f9d7.svg          | XML              |        414 |          0 |          1 |        415 |
| staticfiles\rest_framework\fonts\fontawesome-webfont.svg                       | XML              |        414 |          0 |          1 |        415 |
| staticfiles\rest_framework\fonts\glyphicons-halflings-regular.08eda92397ae.svg | XML              |        288 |          0 |          1 |        289 |
| staticfiles\rest_framework\fonts\glyphicons-halflings-regular.svg              | XML              |        288 |          0 |          1 |        289 |
| staticfiles\rest_framework\js\ajax-form.0ea6e6052ab5.js                        | JavaScript       |         59 |         57 |         12 |        128 |
| staticfiles\rest_framework\js\ajax-form.js                                     | JavaScript       |         59 |         57 |         12 |        128 |
| staticfiles\rest_framework\js\bootstrap.min.3d8308804264.js                    | JavaScript       |          1 |          5 |          0 |          6 |
| staticfiles\rest_framework\js\bootstrap.min.5869c96cc8f1.js                    | JavaScript       |          2 |          5 |          0 |          7 |
| staticfiles\rest_framework\js\bootstrap.min.js                                 | JavaScript       |          1 |          5 |          0 |          6 |
| staticfiles\rest_framework\js\coreapi-0.1.1.8851fb9336c9.js                    | JavaScript       |      1,229 |        609 |        205 |      2,043 |
| staticfiles\rest_framework\js\coreapi-0.1.1.js                                 | JavaScript       |      1,229 |        609 |        205 |      2,043 |
| staticfiles\rest_framework\js\csrf.753b7a1f2ee7.js                             | JavaScript       |         34 |          9 |         10 |         53 |
| staticfiles\rest_framework\js\csrf.969930007329.js                             | JavaScript       |         34 |          9 |         10 |         53 |
| staticfiles\rest_framework\js\csrf.js                                          | JavaScript       |         34 |          9 |         10 |         53 |
| staticfiles\rest_framework\js\default.5b08897dbdc3.js                          | JavaScript       |         32 |          6 |         10 |         48 |
| staticfiles\rest_framework\js\default.js                                       | JavaScript       |         32 |          6 |         10 |         48 |
| staticfiles\rest_framework\js\jquery-3.3.1.min.a09e13ee94d5.js                 | JavaScript       |          1 |          1 |          1 |          3 |
| staticfiles\rest_framework\js\jquery-3.3.1.min.js                              | JavaScript       |          1 |          1 |          1 |          3 |
| staticfiles\rest_framework\js\prettify-min.709bfcc456c6.js                     | JavaScript       |         29 |          0 |          0 |         29 |
| staticfiles\rest_framework\js\prettify-min.js                                  | JavaScript       |         29 |          0 |          0 |         29 |
| staticfiles\static\css\app.110c29ab112abc1fd226.2aad626a9fe4.css               | CSS              |          1 |          0 |          0 |          1 |
| staticfiles\static\css\app.110c29ab112abc1fd226.css                            | CSS              |          1 |          0 |          0 |          1 |
| staticfiles\static\css\app.2581963eb7f0e1481824d60492954eed.8081d35b1640.css   | CSS              |          1 |          1 |          0 |          2 |
| staticfiles\static\css\app.2581963eb7f0e1481824d60492954eed.css                | CSS              |          1 |          1 |          0 |          2 |
| staticfiles\static\css\app.306e13e4dbcc3da3a5358745aff4e29c.1b13554bda33.css   | CSS              |          1 |          1 |          0 |          2 |
| staticfiles\static\css\app.306e13e4dbcc3da3a5358745aff4e29c.css                | CSS              |          1 |          1 |          0 |          2 |
| staticfiles\static\css\app.30eef072434b75b66cdd.2dcc3eaeda98.css               | CSS              |          1 |          0 |          0 |          1 |
| staticfiles\static\css\app.30eef072434b75b66cdd.css                            | CSS              |          1 |          0 |          0 |          1 |
| staticfiles\static\css\app.7b88f57b599f2e110bd5.40a3658530aa.css               | CSS              |          1 |          0 |          0 |          1 |
| staticfiles\static\css\app.7b88f57b599f2e110bd5.css                            | CSS              |          1 |          0 |          0 |          1 |
| staticfiles\static\css\app.7e4cc03d8deefb5420dd.2dcc3eaeda98.css               | CSS              |          1 |          0 |          0 |          1 |
| staticfiles\static\css\app.7e4cc03d8deefb5420dd.css                            | CSS              |          1 |          0 |          0 |          1 |
| staticfiles\static\css\app.a80083f8b06434ae4103.a3efc5034090.css               | CSS              |          1 |          0 |          0 |          1 |
| staticfiles\static\css\app.a80083f8b06434ae4103.css                            | CSS              |          1 |          0 |          0 |          1 |
| staticfiles\static\css\app.c2dfd15533348bf98753f31ff201d201.39f88a2645b8.css   | CSS              |          1 |          1 |          0 |          2 |
| staticfiles\static\css\app.c2dfd15533348bf98753f31ff201d201.css                | CSS              |          1 |          1 |          0 |          2 |
| staticfiles\static\css\app.cfd2dceca43ffab36296197a4cb26b2e.css                | CSS              |          1 |          1 |          0 |          2 |
| staticfiles\static\css\app.cfd2dceca43ffab36296197a4cb26b2e.e7ca8fa02ae8.css   | CSS              |          1 |          1 |          0 |          2 |
| staticfiles\static\css\app.e5019089abc79276e9c6.40a3658530aa.css               | CSS              |          1 |          0 |          0 |          1 |
| staticfiles\static\css\app.e5019089abc79276e9c6.css                            | CSS              |          1 |          0 |          0 |          1 |
| staticfiles\static\css\app.eb48a30719633cbdd109.1ba391a7e8ec.css               | CSS              |          1 |          0 |          0 |          1 |
| staticfiles\static\css\app.eb48a30719633cbdd109.css                            | CSS              |          1 |          0 |          0 |          1 |
| staticfiles\static\css\app.ed790d4ffe31577e7ed8.200dbadfd8f1.css               | CSS              |          1 |          0 |          0 |          1 |
| staticfiles\static\css\app.ed790d4ffe31577e7ed8.css                            | CSS              |          1 |          0 |          0 |          1 |
| staticfiles\static\js\0.5a4b97355bca8e4b82ce.5d86ec5e2413.js                   | JavaScript       |          1 |          1 |          0 |          2 |
| staticfiles\static\js\0.5a4b97355bca8e4b82ce.js                                | JavaScript       |          1 |          1 |          0 |          2 |
| staticfiles\static\js\0.81f123d8dc4b7c28a381.1557e8fbabb0.js                   | JavaScript       |          1 |          1 |          0 |          2 |
| staticfiles\static\js\0.81f123d8dc4b7c28a381.js                                | JavaScript       |          1 |          1 |          0 |          2 |
| staticfiles\static\js\0.98c28884e67f65c121ab.b27246a533f5.js                   | JavaScript       |          1 |          1 |          0 |          2 |
| staticfiles\static\js\0.98c28884e67f65c121ab.js                                | JavaScript       |          1 |          1 |          0 |          2 |
| staticfiles\static\js\0.a5f288813d9dafeb8c1f.1116b31682bf.js                   | JavaScript       |          1 |          1 |          0 |          2 |
| staticfiles\static\js\0.a5f288813d9dafeb8c1f.js                                | JavaScript       |          1 |          1 |          0 |          2 |
| staticfiles\static\js\0.ca778293f1ae79836774.270a055a92a6.js                   | JavaScript       |          1 |          1 |          0 |          2 |
| staticfiles\static\js\0.ca778293f1ae79836774.js                                | JavaScript       |          1 |          1 |          0 |          2 |
| staticfiles\static\js\0.e9d2911e7b4566a50197.731597374109.js                   | JavaScript       |          1 |          1 |          0 |          2 |
| staticfiles\static\js\0.e9d2911e7b4566a50197.js                                | JavaScript       |          1 |          1 |          0 |          2 |
| staticfiles\static\js\0.f67a671ec87bd9746f12.d51c5405b672.js                   | JavaScript       |          1 |          1 |          0 |          2 |
| staticfiles\static\js\0.f67a671ec87bd9746f12.js                                | JavaScript       |          1 |          1 |          0 |          2 |
| staticfiles\static\js\2.a84929cfe742c10197ed.782f3f0a76fa.js                   | JavaScript       |         32 |         11 |          0 |         43 |
| staticfiles\static\js\2.a84929cfe742c10197ed.js                                | JavaScript       |         32 |         11 |          0 |         43 |
| staticfiles\static\js\2.bfd211a2ab6a4828ed32.9a558a2769c4.js                   | JavaScript       |         32 |         11 |          0 |         43 |
| staticfiles\static\js\2.bfd211a2ab6a4828ed32.js                                | JavaScript       |         32 |         11 |          0 |         43 |
| staticfiles\static\js\app.0604ba4ad8cfc07922b9.eb892ef5b601.js                 | JavaScript       |          1 |          1 |          0 |          2 |
| staticfiles\static\js\app.0604ba4ad8cfc07922b9.js                              | JavaScript       |          1 |          1 |          0 |          2 |
| staticfiles\static\js\app.14500be9e31e329555e7.de61d5db2b75.js                 | JavaScript       |          1 |          1 |          0 |          2 |
| staticfiles\static\js\app.14500be9e31e329555e7.js                              | JavaScript       |          1 |          1 |          0 |          2 |
| staticfiles\static\js\app.1bf3483820ac302630f8.e22ebac3e13c.js                 | JavaScript       |          1 |          1 |          0 |          2 |
| staticfiles\static\js\app.1bf3483820ac302630f8.js                              | JavaScript       |          1 |          1 |          0 |          2 |
| staticfiles\static\js\app.427969590fbf2595c894.e21056f37bc8.js                 | JavaScript       |          1 |          1 |          0 |          2 |
| staticfiles\static\js\app.427969590fbf2595c894.js                              | JavaScript       |          1 |          1 |          0 |          2 |
| staticfiles\static\js\app.57395e0b2e086a2d527c.cdd9084f906b.js                 | JavaScript       |          1 |          1 |          0 |          2 |
| staticfiles\static\js\app.57395e0b2e086a2d527c.js                              | JavaScript       |          1 |          1 |          0 |          2 |
| staticfiles\static\js\app.579d033e4f2fc647ac07.0a73b14de5e2.js                 | JavaScript       |          1 |          1 |          0 |          2 |
| staticfiles\static\js\app.579d033e4f2fc647ac07.js                              | JavaScript       |          1 |          1 |          0 |          2 |
| staticfiles\static\js\app.5d157c8d0b5792eb31f7.d3f67d0b47eb.js                 | JavaScript       |          1 |          1 |          0 |          2 |
| staticfiles\static\js\app.5d157c8d0b5792eb31f7.js                              | JavaScript       |          1 |          1 |          0 |          2 |
| staticfiles\static\js\app.80259b39de38f95a5a14.js                              | JavaScript       |          1 |          1 |          0 |          2 |
| staticfiles\static\js\app.a3e5cc999b47d9a2d851.89a63c7fe5ef.js                 | JavaScript       |          1 |          1 |          0 |          2 |
| staticfiles\static\js\app.a3e5cc999b47d9a2d851.js                              | JavaScript       |          1 |          1 |          0 |          2 |
| staticfiles\static\js\manifest.2ae2e69a05c33dfc65f8.323055c248c0.js            | JavaScript       |          1 |          1 |          0 |          2 |
| staticfiles\static\js\manifest.2ae2e69a05c33dfc65f8.js                         | JavaScript       |          1 |          1 |          0 |          2 |
| staticfiles\static\js\runtime.a2142094e45718454de0.03acd37b6d3c.js             | JavaScript       |          1 |          1 |          0 |          2 |
| staticfiles\static\js\runtime.a2142094e45718454de0.js                          | JavaScript       |          1 |          1 |          0 |          2 |
| staticfiles\static\js\vendor.0cfcccd6a39598e0f7fb.9c47647efac5.js              | JavaScript       |          6 |         25 |          0 |         31 |
| staticfiles\static\js\vendor.0cfcccd6a39598e0f7fb.js                           | JavaScript       |          6 |         25 |          0 |         31 |
| staticfiles\static\js\vendor.bf22a0303550e9547a46.77079b1bcf54.js              | JavaScript       |          8 |         36 |          0 |         44 |
| staticfiles\static\js\vendor.bf22a0303550e9547a46.js                           | JavaScript       |          8 |         36 |          0 |         44 |
| staticfiles\staticfiles.json                                                   | JSON             |          1 |          0 |          0 |          1 |
| storage_backends.py                                                            | Python           |          6 |          0 |          3 |          9 |
| users\admin.py                                                                 | Python           |         42 |          0 |          5 |         47 |
| users\migrations\0001_initial.py                                               | Python           |         62 |          1 |          7 |         70 |
| users\migrations\0002_auto_20190601_1724.py                                    | Python           |         12 |          1 |          6 |         19 |
| users\migrations\0003_notif_is_read.py                                         | Python           |         12 |          1 |          6 |         19 |
| users\migrations\0004_auto_20190602_1531.py                                    | Python           |         17 |          1 |          6 |         24 |
| users\migrations\0005_user_is_get_notif_email.py                               | Python           |         12 |          1 |          6 |         19 |
| users\migrations\0006_auto_20190608_0047.py                                    | Python           |         12 |          1 |          6 |         19 |
| users\migrations\0007_notif_initiator.py                                       | Python           |         15 |          1 |          6 |         22 |
| users\migrations\0008_remove_notif_initiator.py                                | Python           |         11 |          1 |          6 |         18 |
| users\migrations\0009_user_is_get_notif_expired_email.py                       | Python           |         12 |          1 |          6 |         19 |
| users\migrations\0010_notif_dateexpire.py                                      | Python           |         12 |          1 |          6 |         19 |
| users\migrations\0011_auto_20190611_1927.py                                    | Python           |         12 |          1 |          6 |         19 |
| users\migrations\0012_notif_is_notif_expire.py                                 | Python           |         12 |          1 |          6 |         19 |
| users\migrations\__init__.py                                                   | Python           |          0 |          0 |          1 |          1 |
| users\models.py                                                                | Python           |         59 |          1 |         10 |         70 |
| users\permissions.py                                                           | Python           |         62 |          0 |          7 |         69 |
| users\serializers.py                                                           | Python           |        204 |          5 |         25 |        234 |
| users\views.py                                                                 | Python           |        363 |         20 |         35 |        418 |
| Total                                                                          |                  |     70,825 |      8,798 |     11,001 |     90,624 |
+--------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
